-0.1.1 abstract_entity
-0.1.1.0.0.0.15.20.1.7.9 psychology
0.1.1.0.0.0.15.20.1.7.9.26 psychological
-0.1.1.0.0.0.18 attitude
-0.1.1.0.0.0.18.10 tolerance
-0.1.1.0.0.0.18.10.1 liberality
0.1.1.0.0.0.18.10.1.0 broad
-0.1.1.0.0.2 event
-0.1.1.0.0.2.0 act
-0.1.1.0.0.2.0.0 action
-0.1.1.0.0.2.0.0.1 kindness
0.1.1.0.0.2.0.0.1.6 kind
-0.1.1.0.0.2.0.0.2 accomplishment
-0.1.1.0.0.2.0.0.2.2 deed
0.1.1.0.0.2.0.0.2.18 smooth
0.1.1.0.0.2.0.0.12 choice
-0.1.1.0.0.2.0.0.12.3 decision
-0.1.1.0.0.2.0.0.12.3.2 move
-0.1.1.0.0.2.0.0.12.3.2.1 maneuver
0.1.1.0.0.2.0.0.12.3.2.1.0 parking
-0.1.1.0.0.2.0.0.12.3.2.1.1 device
0.1.1.0.0.2.0.0.12.3.2.1.1.1 trick
-0.1.1.0.0.2.0.0.13 change
-0.1.1.0.0.2.0.0.13.12 change_of_state
0.1.1.0.0.2.0.0.13.12.7 beginning
-0.1.1.0.0.2.0.0.13.16 motion
-0.1.1.0.0.2.0.0.13.16.16 lurch
-0.1.1.0.0.2.0.0.13.16.16.0 rock
0.1.1.0.0.2.0.0.13.16.16.0.0 rough
0.1.1.0.0.2.0.0.13.16.18 opening
-0.1.1.0.0.2.0.0.13.17 change_of_direction
-0.1.1.0.0.2.0.0.13.17.2 change_of_course
-0.1.1.0.0.2.0.0.13.17.2.0 turn
0.1.1.0.0.2.0.0.13.17.2.0.1 right
0.1.1.0.0.2.0.0.13.17.2.0.2 left
-0.1.1.0.0.2.0.0.13.18 change_of_magnitude
-0.1.1.0.0.2.0.0.13.18.1 increase
-0.1.1.0.0.2.0.0.13.18.1.6 expansion
0.1.1.0.0.2.0.0.13.18.1.6.5 extension
-0.1.1.0.0.2.0.0.13.19 change_of_integrity
0.1.1.0.0.2.0.0.13.19.4 opening
-0.1.1.0.0.2.0.0.14 economy
-0.1.1.0.0.2.0.8 activity
-0.1.1.0.0.2.0.8.10 acting
0.1.1.0.0.2.0.8.10.4 business
0.1.1.0.0.2.0.8.13 work
-0.1.1.0.0.2.0.8.16.7 profession
-0.1.1.0.0.2.0.8.16.7.0 learned_profession
-0.1.1.0.0.2.0.8.16.7.0.1 medicine
0.1.1.0.0.2.0.8.16.7.0.1.3 medical
-0.1.1.0.0.2.0.8.16.7.5 politics
0.1.1.0.0.2.0.8.16.7.5.0 political
-0.1.1.0.0.2.0.8.20 wrongdoing
0.1.1.0.0.2.0.8.20.10 wrong
-0.1.1.0.0.2.0.8.20.12 injustice
0.1.1.0.0.2.0.8.20.12.0 unfair
-0.1.1.0.0.2.0.8.20.15 dishonesty
0.1.1.0.0.2.0.8.20.15.2 trick
0.1.1.0.0.2.0.8.21 wasteful
-0.1.1.0.0.2.0.8.26 education
0.1.1.0.0.2.0.8.26.4 extension
0.1.1.0.0.2.0.8.27 training
-0.1.1.0.0.2.0.8.38 organization
-0.1.1.0.0.2.0.8.38.2 order
-0.1.1.0.0.2.0.8.38.2.2 succession
0.1.1.0.0.2.0.8.38.2.2.1 opening
-0.1.1.0.0.2.0.8.41 continuance
0.1.1.0.0.2.0.8.41.6 constant
-0.1.1.0.0.2.0.8.42 procedure
0.1.1.0.0.2.0.8.42.6 routine
-0.1.1.0.0.2.0.8.44 ceremony
-0.1.1.0.0.2.0.8.44.1 religious_ceremony
-0.1.1.0.0.2.0.8.44.1.1 rite
-0.1.1.0.0.2.0.8.44.1.1.5 office
0.1.1.0.0.2.0.8.44.1.1.5.3 official
-0.1.1.0.0.2.0.8.44.1.2 service
-0.1.1.0.0.2.0.8.44.1.2.0 church_service
0.1.1.0.0.2.0.8.44.1.2.0.0 official
-0.1.1.0.0.2.0.8.55 market
0.1.1.0.0.2.0.8.65 fun
0.1.1.0.0.2.0.8.68 last
0.1.1.0.0.2.0.8.75 active
0.1.1.0.0.2.0.8.76 active
-0.1.1.0.0.2.0.18 group_action
-0.1.1.0.0.2.0.18.8 social_control
0.1.1.0.0.2.0.18.8.3 government
0.1.1.0.0.2.0.18.8.3.3 federal
0.1.1.0.0.2.0.18.19 action
-0.1.1.0.0.2.0.18.23 cooperation
-0.1.1.0.0.2.0.18.23.1 conformity
-0.1.1.0.0.2.0.18.23.1.0 formality
-0.1.1.0.0.2.0.18.23.1.0.0 politeness
0.1.1.0.0.2.0.18.23.1.0.0.4 civil
0.1.1.0.0.2.0.18.23.1.0.1 formal
-0.1.1.0.0.2.3 happening
-0.1.1.0.0.2.3.0 accompaniment
0.1.1.0.0.2.3.0.1 background
-0.1.1.0.0.2.3.2 experience
-0.1.1.0.0.2.3.3 trouble
-0.1.1.0.0.2.3.3.7 noise
0.1.1.0.0.2.3.3.7.0 background
-0.1.1.0.0.2.3.8 episode
-0.1.1.0.0.2.3.8.0 drama
0.1.1.0.0.2.3.8.0.2 dramatic
-0.1.1.0.0.2.3.10 beginning
-0.1.1.0.0.2.3.10.6 start
0.1.1.0.0.2.3.10.6.8 opening
-0.1.1.0.0.2.3.36 juncture
-0.1.1.0.0.2.3.36.2 crisis
0.1.1.0.0.2.3.36.2.0 emergency
-0.1.1.0.0.2.4 social_event
-0.1.1.0.0.2.4.0 affair
-0.1.1.0.0.2.4.1 contest
-0.1.1.0.0.2.4.1.7 tournament
-0.1.1.0.0.2.4.1.11 match
0.1.1.0.0.2.4.1.11.9 final
-0.1.1.0.0.2.4.2 show
-0.1.1.0.0.2.4.2.0 broadcast
-0.1.1.0.0.2.4.2.0.3 television_program
0.1.1.0.0.2.4.2.0.3.3 special
-0.1.1.0.1 attribute  //an abstraction belonging to or characteristic of an entity  
-0.1.1.0.1.0 state	///the way something is with respect to its main attributes; "the current state of knowledge"; "his state of health"; "in a weak financial state"
-0.1.1.0.1.0.0 feeling
-0.1.1.0.1.0.0.1 emotion
-0.1.1.0.1.0.0.1.3 anxiety
-0.1.1.0.1.0.0.1.3.2 anxiousness
0.1.1.0.1.0.0.1.3.2.0 anxious
-0.1.1.0.1.0.0.1.6 hate
-0.1.1.0.1.0.0.1.6.8 hostility
-0.1.1.0.1.0.0.1.6.8.5 resentment
0.1.1.0.1.0.0.1.6.8.5.5 bitter
-0.1.1.0.1.0.0.6 passion
-0.1.1.0.1.0.0.6.1 wildness
0.1.1.0.1.0.0.6.1.0 wild
-0.1.1.0.1.0.0.13 pleasure
-0.1.1.0.1.0.0.13.2 pleasantness
0.1.1.0.1.0.0.13.2.1 pleasant
-0.1.1.0.1.0.0.16 liking
-0.1.1.0.1.0.0.16.5 friendliness
0.1.1.0.1.0.0.16.5.3 friendly
-0.1.1.0.1.0.0.28 gravity
-0.1.1.0.1.0.0.28.0 earnestness
0.1.1.0.1.0.0.28.0.0 dear
-0.1.1.0.1.0.0.31 calmness
-0.1.1.0.1.0.0.31.1 coolness
0.1.1.0.1.0.0.31.1.1 cool
-0.1.1.0.1.0.0.31.2 tranquillity
-0.1.1.0.1.0.0.31.2.1 easiness
0.1.1.0.1.0.0.31.2.1.1 easy
0.1.1.0.1.0.0.31.2.2 quiet
-0.1.1.0.1.0.0.32 fearlessness
-0.1.1.0.1.0.0.32.0 security
0.1.1.0.1.0.0.32.0.1 secure
-0.1.1.0.1.0.0.33 happiness
-0.1.1.0.1.0.0.33.1 gladness
0.1.1.0.1.0.0.33.1.1 glad
0.1.1.0.1.0.0.33.1.2 glad
-0.1.1.0.1.0.0.33.4 belonging
-0.1.1.0.1.0.0.33.4.0 comfortableness
0.1.1.0.1.0.0.33.4.0.0 comfortable
-0.1.1.0.1.0.0.33.4.1 closeness
0.1.1.0.1.0.0.33.4.1.1 close
0.1.1.0.1.0.0.33.7 happy
-0.1.1.0.1.0.0.34 sadness
-0.1.1.0.1.0.0.34.1 heaviness
0.1.1.0.1.0.0.34.1.0 heavy
-0.1.1.0.1.0.0.34.4 forlornness
0.1.1.0.1.0.0.34.4.0 lonely
0.1.1.0.1.0.0.34.11 unhappy
0.1.1.0.1.0.0.34.12 sad
-0.1.1.0.1.0.0.37 affection
0.1.1.0.1.0.0.37.4 warm
-0.1.1.0.1.0.0.38 temper
-0.1.1.0.1.0.0.38.3 ill_humor
-0.1.1.0.1.0.0.38.3.0 moodiness
-0.1.1.0.1.0.0.38.3.0.0 moroseness
0.1.1.0.1.0.0.38.3.0.0.0 heavy
0.1.1.0.1.0.0.38.3.0.0.2 dark
-0.1.1.0.1.0.1 skillfulness
-0.1.1.0.1.0.1.8 efficiency
0.1.1.0.1.0.1.8.1 efficient
-0.1.1.0.1.0.2 cognitive_state
-0.1.1.0.1.0.2.5 consciousness
0.1.1.0.1.0.2.5.6 conscious
-0.1.1.0.1.0.2.8 curiosity
0.1.1.0.1.0.2.8.4 curious
-0.1.1.0.1.0.2.10 certainty
-0.1.1.0.1.0.2.10.0 assurance
0.1.1.0.1.0.2.10.0.1 confident
0.1.1.0.1.0.2.10.0.3 sure
-0.1.1.0.1.0.6 condition
0.1.1.0.1.0.6.1 ordinary
-0.1.1.0.1.0.6.5 fortune
-0.1.1.0.1.0.6.5.0 good_fortune
-0.1.1.0.1.0.6.5.0.0 prosperity
0.1.1.0.1.0.6.5.0.0.3 comfortable
0.1.1.0.1.0.6.5.0.0.4 successful
0.1.1.0.1.0.6.5.0.2 lucky
-0.1.1.0.1.0.6.5.2 misfortune
-0.1.1.0.1.0.6.5.2.3 weakness
0.1.1.0.1.0.6.5.2.3.0 weak
-0.1.1.0.1.0.7 condition
-0.1.1.0.1.0.7.23 innocence
0.1.1.0.1.0.7.23.1 clear
-0.1.1.0.1.0.7.24 purity
-0.1.1.0.1.0.7.24.0 cleanness
0.1.1.0.1.0.7.24.0.1 clean
0.1.1.0.1.0.7.24.1 pure
0.1.1.0.1.0.7.24.2 white
-0.1.1.0.1.0.7.25 guilt
0.1.1.0.1.0.7.25.7 guilty
-0.1.1.0.1.0.7.28 pathological_state
-0.1.1.0.1.0.7.28.0 ill_health
-0.1.1.0.1.0.7.28.0.1 illness
0.1.1.0.1.0.7.28.0.1.14 ill
-0.1.1.0.1.0.7.28.0.9 unfitness
0.1.1.0.1.0.7.28.0.9.2 soft
-0.1.1.0.1.0.7.34 psychological_state
-0.1.1.0.1.0.7.34.6 mental_health
-0.1.1.0.1.0.7.34.6.1 sanity
-0.1.1.0.1.0.7.34.6.1.1 rationality
0.1.1.0.1.0.7.34.6.1.1.1 reasonable
-0.1.1.0.1.0.7.35 difficulty
-0.1.1.0.1.0.7.35.1 predicament
0.1.1.0.1.0.7.35.1.0 corner
-0.1.1.0.1.0.7.35.9 situation
-0.1.1.0.1.0.7.35.9.2 crisis
-0.1.1.0.1.0.7.35.9.2.2 juncture
-0.1.1.0.1.0.7.35.9.2.2.0 criticality
0.1.1.0.1.0.7.35.9.2.2.0.1 critical
-0.1.1.0.1.0.7.40 comfort
0.1.1.0.1.0.7.40.4 comfortable
-0.1.1.0.1.0.7.42 need
-0.1.1.0.1.0.7.42.1 necessity
-0.1.1.0.1.0.7.42.1.1 urgency
-0.1.1.0.1.0.7.42.1.1.2 criticality
0.1.1.0.1.0.7.42.1.1.2.0 critical
-0.1.1.0.1.0.7.43 fullness
-0.1.1.0.1.0.7.43.2 solidity
0.1.1.0.1.0.7.43.2.0 solid
0.1.1.0.1.0.7.43.4 full
-0.1.1.0.1.0.7.44 emptiness
0.1.1.0.1.0.7.44.4 empty
0.1.1.0.1.0.7.44.5 empty
-0.1.1.0.1.0.7.50 pure
-0.1.1.0.1.0.7.51 dirty
-0.1.1.0.1.0.7.52 financial_condition
0.1.1.0.1.0.7.52.1 rich
0.1.1.0.1.0.7.52.2 poor
-0.1.1.0.1.0.7.53 sanitary_condition
-0.1.1.0.1.0.7.53.2 clean
0.1.1.0.1.0.7.53.3.1 dirty
0.1.1.0.1.0.7.53.2.2 dirty
-0.1.1.0.1.0.7.57 normality
0.1.1.0.1.0.7.57.1 normal
0.1.1.0.1.0.7.57.2 typical
-0.1.1.0.1.0.7.68 dryness
0.1.1.0.1.0.7.68.6 dry
-0.1.1.0.1.0.7.69 safety
0.1.1.0.1.0.7.69.1 safe
0.1.1.0.1.0.7.69.2 secure
-0.1.1.0.1.0.11 situation
-0.1.1.0.1.0.11.9 environment
0.1.1.0.1.0.11.9.1 home
0.1.1.0.1.0.11.9.2 environmental
0.1.1.0.1.0.11.9.3 street
0.1.1.0.1.0.17 wild
-0.1.1.0.1.0.19 degree
0.1.1.0.1.0.19.5 plane
-0.1.1.0.1.0.19.7 ultimacy
0.1.1.0.1.0.19.7.0 extreme
0.1.1.0.1.0.20 official
-0.1.1.0.1.0.21 status
-0.1.1.0.1.0.21.1 high_status
0.1.1.0.1.0.21.1.3 senior
-0.1.1.0.1.0.21.2 low_status
0.1.1.0.1.0.21.2.1 low
-0.1.1.0.1.0.22 being
-0.1.1.0.1.0.22.0 actuality
0.1.1.0.1.0.22.0.1 actual
0.1.1.0.1.0.22.0.2 real
0.1.1.0.1.0.22.0.3 true
-0.1.1.0.1.0.22.0.3.0 historicalness
0.1.1.0.1.0.22.0.3.0.0 historical
-0.1.1.0.1.0.22.6 life
0.1.1.0.1.0.22.8 living
-0.1.1.0.1.0.22.10 possibility
0.1.1.0.1.0.22.10.2 potential
0.1.1.0.1.0.22.10.3 possible
-0.1.1.0.1.0.23 nonbeing
-0.1.1.0.1.0.23.0 nonexistence
-0.1.1.0.1.0.23.0.0 false
0.1.1.0.1.0.23.0.1 impossibble
-0.1.1.0.1.0.24 death
0.1.1.0.1.0.24.1 dead
-0.1.1.0.1.0.27 order
-0.1.1.0.1.0.28 disorder
-0.1.1.0.1.0.31 illumination
0.1.1.0.1.0.31.1 light
0.1.1.0.1.0.31.2 dark
-0.1.1.0.1.0.32 freedom
-0.1.1.0.1.0.32.5 free
0.1.1.0.1.0.32.6 independent
-0.1.1.0.1.0.34 dependence
0.1.1.0.1.0.34.4 dependent
-0.1.1.0.1.0.36 motionlessness
0.1.1.0.1.0.36.2 still
-0.1.1.0.1.0.38 action
-0.1.1.0.1.0.38.1 busy
-0.1.1.0.1.0.38.2 active
-0.1.1.0.1.0.40 temporary_state
0.1.1.0.1.0.40.7 emergency
0.1.1.0.1.0.42 ready
-0.1.1.0.1.0.44 physiological_state
-0.1.1.0.1.0.44.0 drive
-0.1.1.0.1.0.44.0.0 hunger
0.1.1.0.1.0.44.0.0.5 hungry
-0.1.1.0.1.0.44.20 good_health
-0.1.1.0.1.0.44.20.3 freshness
0.1.1.0.1.0.44.20.3.0 fresh
0.1.1.0.1.0.44.20.6 healthy
-0.1.1.0.1.0.44.46 arousal
-0.1.1.0.1.0.44.46.1 emotional_arousal
0.1.1.0.1.0.44.46.1.0 angry
-0.1.1.0.1.0.47 separation
-0.1.1.0.1.0.47.0 discreteness
0.1.1.0.1.0.47.0.0 separate
-0.1.1.0.1.0.56 integrity
0.1.1.0.1.0.56.1 entire
0.1.1.0.1.0.56.2 full
0.1.1.0.1.0.56.3 complete
-0.1.1.0.1.0.57 imperfection
0.1.1.0.1.0.57.3 weak
-0.1.1.0.1.1 shape
0.1.1.0.1.1.0 solid
0.1.1.0.1.1.1 plane
-0.1.1.0.1.1.4 figure
-0.1.1.0.1.1.4.1 plane_figure
-0.1.1.0.1.1.4.1.1 polygon
-0.1.1.0.1.1.4.1.1.3 quadrilateral
-0.1.1.0.1.1.4.1.1.3.0 parallelogram
0.1.1.0.1.1.4.1.1.3.0.2 rectangle
0.1.1.0.1.1.4.1.1.3.0.2.1 square
-0.1.1.0.1.1.7 round_shape
0.1.1.0.1.1.7.6 sphere
0.1.1.0.1.1.7.6.0 ball
-0.1.1.0.1.1.9 amorphous_shape
-0.1.1.0.1.1.9.2 space
0.1.1.0.1.1.9.2.8 opening
0.1.1.0.1.1.12 square
-0.1.1.0.1.2 time
-0.1.1.0.1.2.0 geological_time
0.1.1.0.1.2.5 present
0.1.1.0.1.2.6 past
0.1.1.0.1.2.6.1 old
0.1.1.0.1.2.7 future
-0.1.1.0.1.5 trait
-0.1.1.0.1.5.0 character
-0.1.1.0.1.5.0.0 most_common&spirit traits
-0.1.1.0.1.5.0.0.0 most_common
0.1.1.0.1.5.0.0.0.1 useful
0.1.1.0.1.5.0.0.0.1.0 important
0.1.1.0.1.5.0.0.0.2 other
0.1.1.0.1.5.0.0.0.2.1 different
0.1.1.0.1.5.0.0.0.2.2 rare
0.1.1.0.1.5.0.0.0.3 same
0.1.1.0.1.5.0.0.0.3.1 similar
0.1.1.0.1.5.0.0.0.3.2 typical
-0.1.1.0.1.5.0.0.1 spirit
0.1.1.0.1.5.0.0.1.1 brave
-0.1.1.0.1.5.1 nature
-0.1.1.0.1.5.1.1 disposition
-0.1.1.0.1.5.1.1.3 nervousness
0.1.1.0.1.5.1.1.3.2 nervous
0.1.1.0.1.5.1.1.8 easy
0.1.1.0.1.5.1.1.9 hard
0.1.1.0.1.5.1.1.9.1 severe
-0.1.1.0.1.5.1.1.10 good_nature
-0.1.1.0.1.5.1.1.10.1 patience
0.1.1.0.1.5.1.1.10.1.1 patient
-0.1.1.0.1.5.1.1.12 ill_nature
0.1.1.0.1.5.1.1.12.1 sharp
-0.1.1.0.1.5.1.1.13 disagreeableness
-0.1.1.0.1.5.1.1.13.1 aggressive
-0.1.1.0.1.5.1.1.14 willingness
0.1.1.0.1.5.1.1.14.1 open
0.1.1.0.1.5.1.1.14.2 willing
-0.1.1.0.1.5.1.1.16 friendliness
-0.1.1.0.1.5.1.1.16.2 familiarity
0.1.1.0.1.5.1.1.16.2.0 familiar
-0.1.1.0.1.5.1.1.16.8 kindliness
0.1.1.0.1.5.1.1.16.8.0 helpful
0.1.1.0.1.5.1.1.16.9 friendly
-0.1.1.0.1.5.1.1.17 unsociability
-0.1.1.0.1.5.1.1.17.0 aloofness
0.1.1.0.1.5.1.1.17.0.2 remote
-0.1.1.0.1.5.1.1.19 composure
0.1.1.0.1.5.1.1.19.2 calm
0.1.1.0.1.5.1.1.25 private
-0.1.1.0.1.5.3 emotionality
0.1.1.0.1.5.3.1 emotional
-0.1.1.0.1.5.4 unemotionality
-0.1.1.0.1.5.4.1 coldness
0.1.1.0.1.5.4.1.1 cold
0.1.1.0.1.5.4.1.2 cool
-0.1.1.0.1.5.4.2 dispassion
0.1.1.0.1.5.4.2.0 dry
-0.1.1.0.1.5.5 activeness
0.1.1.0.1.5.5.1 active
-0.1.1.0.1.5.7 seriousness
0.1.1.0.1.5.7.5 serious
-0.1.1.0.1.5.13 attentiveness
-0.1.1.0.1.5.13.0 carefulness
0.1.1.0.1.5.13.0.3 careful
-0.1.1.0.1.5.17 trustworthiness
-0.1.1.0.1.5.17.1 responsibility
0.1.1.0.1.5.17.1.3 responsible
-0.1.1.0.1.5.19 individuality
-0.1.1.0.1.5.19.1 peculiarity
0.1.1.0.1.5.19.1.6 special
0.1.1.0.1.5.19.2 individual
-0.1.1.0.1.5.22 drive
0.1.1.0.1.5.22.0 action
-0.1.1.0.1.5.22.4 aggressiveness
-0.1.1.0.1.5.22.4.0 competitiveness
0.1.1.0.1.5.22.4.0.0 competitive
0.1.1.0.1.5.22.4.4 aggressive
-0.1.1.0.1.5.23 resoluteness
0.1.1.0.1.5.23.13 firm
-0.1.1.0.1.5.29 wisdom
0.1.1.0.1.5.29.4 wise
-0.1.1.0.1.5.31 judgment
0.1.1.0.1.5.31.0 objective
-0.1.1.0.1.5.34 cleanliness
0.1.1.0.1.5.34.1 neat
-0.1.1.0.1.5.36 demeanor
-0.1.1.0.1.5.36.3 propriety
-0.1.1.0.1.5.36.3.1 appropriateness
0.1.1.0.1.5.36.3.1.0 right
0.1.1.0.1.5.36.3.2 correct
0.1.1.0.1.5.36.3 decent
0.1.1.0.1.5.36.3.1 proper
-0.1.1.0.1.5.36.4 impropriety
-0.1.1.0.1.5.36.4.4 indecency
-0.1.1.0.1.5.36.4.4.2 obscenity
-0.1.1.0.1.5.36.4.4.2.0 smuttiness
0.1.1.0.1.5.36.4.4.2.0.0 dirty
-0.1.1.0.1.5.36.5 manner
-0.1.1.0.1.5.36.5.3 gentleness
0.1.1.0.1.5.36.5.3.0 soft
0.1.1.0.1.5.36.5.3.1 soft
0.1.1.0.1.5.36.5.3.2 easy
-0.1.1.0.1.5.36.5.7 discourtesy
-0.1.1.0.1.5.36.5.7.6 crust
0.1.1.0.1.5.36.5.7.6.1 fresh
-0.1.1.0.1.5.38 intractability
-0.1.1.0.1.5.38.3 unruliness
-0.1.1.0.1.5.38.3.1 wildness
0.1.1.0.1.5.38.3.1.0 wild
0.1.1.0.1.6 character
-0.1.1.0.1.9 personality
0.1.1.0.1.9.7 personal
-0.1.1.0.1.11 uncheerfulness
-0.1.1.0.1.11.0 gloominess
0.1.1.0.1.11.0.3 sad
-0.1.1.0.1.15 quality
-0.1.1.0.1.15.1 humanness
0.1.1.0.1.15.1.0 human
0.1.1.0.1.15.1.1 human
0.1.1.0.1.15.1.2 human
-0.1.1.0.1.15.3 excellence
-0.1.1.0.1.15.3.1 impressiveness
0.1.1.0.1.15.3.1.2 grand
0.1.1.0.1.15.3.1.3 impressive
0.1.1.0.1.15.3.1.4 rich
0.1.1.0.1.15.3.1.6 rich
0.1.1.0.1.15.3.3 excellent
-0.1.1.0.1.15.5 characteristic
-0.1.1.0.1.15.5.4 safeness
0.1.1.0.1.15.5.4.0 safe
0.1.1.0.1.15.5.4.1 safe
0.1.1.0.1.15.5.4.2 safe
-0.1.1.0.1.15.5.5 dangerousness
0.1.1.0.1.15.5.5.1 dangerous
0.1.1.0.1.15.5.5.2 dangerous
-0.1.1.0.1.15.5.8 directness
-0.1.1.0.1.15.5.8.1 immediacy
0.1.1.0.1.15.5.8.1.0 immediate
0.1.1.0.1.15.5.8.3 straight
